date,predicted_sales
2020-12-04,350280.71199999965
2020-12-04,308182.60490000044
2020-12-06,149886.91469999996
2020-12-07,128682.08729999985
2020-12-07,145912.58599999992
2020-12-08,141041.38979999995
2020-12-09,179646.31340000004
2020-12-09,280930.8492999998
2020-12-09,128265.58069999989
2020-12-11,307625.8355000001
2020-12-12,226773.4499000002
2020-12-13,239576.35289999977
2020-12-13,59235.307899999934
2020-12-14,287042.3160999996
2020-12-15,251240.40130000046
2020-12-15,302884.92869999993
2020-12-16,138916.23720000003
2020-12-20,151641.55890000015
2020-12-20,260615.76400000008
2020-12-22,205049.26679999995
2020-12-23,238521.6243000003
2020-12-23,92295.7025
2020-12-24,152623.06710000022
2020-12-26,84837.03600000002
2020-12-27,60992.14679999988
2020-12-27,94395.281
2020-12-29,73092.53989999993
2020-12-29,133563.68859999982
2020-12-30,138909.58720000004
2020-12-30,166721.0005000002
